Title,Brand,Price,Condition,Retail_Price,Volume,Exterior_Color,Exterior_Material,Interior_Color,Interior_Material,Accessories,Ac_Count
Chanel Vintage Timeless Zip Around Vanity Case Patent Small,Chanel,1280.0,Good,,232.75,Black,Leather,Black,Leather,"['Authenticity card', 'Detachable Strap']",2.0
Saint Laurent Classic Monogram College Bag Quilted Leather Medium,Saint Laurent,1545.0,Great,2490.0,133.0,Brown,Leather,Black,Fabric,['Dust bag'],1.0
Gucci GG Marmont Chain Wallet Leather Mini,Gucci,945.0,Good,1450.0,66.0,Red,Leather,Red,"Fabric, Leather",['Detachable Strap'],1.0
Saint Laurent Bellechasse Shoulder Bag Suede and Leather Medium,Saint Laurent,890.0,Great,1890.0,114.0,Pink,"Leather, Suede",Pink,Suede,['Dust bag'],1.0
Chanel Vintage CC Dome Bag Caviar Large,Chanel,1155.0,Good,2600.0,693.0,Black,Leather,Black,Leather,['Authenticity card'],1.0
Christian Dior Book Tote Oblique Canvas,Christian Dior,2800.0,Great,,1255.5,Blue,Canvas (Plain),Blue,Canvas Plain,['Dust bag'],1.0
Gucci Saddle Zip Messenger Bag GG Denim Medium,Gucci,415.0,Very Good,950.0,322.0,Black,Denim,Black,Fabric,['No accessories'],0.0
Celine Classic Box Bag Smooth Leather Medium,,,,,,,,,,,
Louis Vuitton Dauphine Shoulder Bag Taurillon Leather Mini,Louis Vuitton,2720.0,Excellent,3450.0,168.0,"Black, Brown, White, Multicolor",Leather,Black,Microfiber,"['Dust bag', 'Detachable Strap']",2.0
Louis Vuitton Cartouchiere Handbag Epi Leather MM,Louis Vuitton,605.0,Very Good,1250.0,189.0,Blue,Leather,Black,Leather,['No accessories'],0.0
Gucci Ophidia Chain Shoulder Bag Leather Small,,,,,,,,,,,
Louis Vuitton Speedy Bandouliere Bag Damier 25,,,,,,,,,,,
Louis Vuitton Alma Handbag Monogram Vernis BB,Louis Vuitton,1465.0,Good,2020.0,299.25,Neutral,Patent Leather,Pink,Fabric,"['Clochette', 'Keys', 'Lock', 'Dust bag', 'Detachable Strap']",5.0
Chanel Coco Top Handle Bag Quilted Caviar with Lizard Large,,,,,,,,,,,
Hermes Birkin Handbag Bicolor Chevre Mysore with Palladium Hardware 25,Hermes,13895.0,Very Good,,400.0,Green,Leather,Green,Leather,"['Clochette', 'Keys', 'Lock', 'Dust bag']",4.0
Chanel Casual Trip Messenger Bag Quilted Lambskin Mini,Chanel,2665.0,Excellent,2900.0,72.0,Pink,Leather,Brown,Fabric,"['Dust bag', 'Authenticity card']",2.0
Gucci Plus Tote GG Coated Canvas Small,Gucci,500.0,Great,,322.0,Brown,Canvas Coated,Brown,Fabric,['No accessories'],0.0
Louis Vuitton Moon Alma Bag Monogram Canvas,Louis Vuitton,2725.0,Excellent,3050.0,285.0,Brown,Canvas Coated,Black,Microfiber,"['Lock', 'Detachable Strap']",2.0
Chanel Logo Zip Backpack Shearling,Chanel,3070.0,Great,,1040.0,"Pink, Red, White, Multicolor",Shearling,Red,Nylon,"['Authenticity card', 'Dust bag']",2.0
Chanel 19 Flap Bag Quilted Jersey Large,Chanel,5545.0,Great,,342.125,Black,Jersey,Red,Fabric,['Authenticity card'],1.0
Celine Luggage Bag Grainy Leather Nano,,,,,,,,,,,
Prada Hobo Tessuto Mini,Prada,950.0,Excellent,,108.0,Black,Nylon,Black,Nylon,['No accessories'],0.0
Celine All Soft Bag Leather,Celine,725.0,Good,2785.0,929.5,"Black, Brown, Neutral, Multicolor",Leather,Brown,Suede,['Pochette missing'],1.0
Saint Laurent Bellechasse Shoulder Bag Suede and Leather Medium,Saint Laurent,1040.0,Excellent,1890.0,114.0,Pink,"Leather, Suede",Pink,Suede,['Dust bag'],1.0
Christian Dior Vintage Saddle Bag Diorissimo Canvas Mini,Christian Dior,850.0,Very Good,,72.0,Green,Canvas (Plain),Green,Nylon,['No accessories'],0.0
Prada Flap Crossbody Bag Vitello Daino Small,Prada,1410.0,Excellent,1790.0,88.0,Black,Leather,Black,"Fabric, Leather","['Extra Strap missing', 'Dust bag', 'Detachable Strap']",3.0
Celine Belt Bag Textured Leather Nano,Celine,1440.0,Very Good,2150.0,270.0,Blue,Leather,Blue,Suede,"['Dust bag', 'Detachable Strap']",2.0
Prada Dual Strap Zip Tote Vitello Daino Medium,,,,,,,,,,,
Louis Vuitton Hina Handbag Mahina Leather PM,Louis Vuitton,2590.0,Very Good,3400.0,350.0,Pink,Leather,Pink,Microfiber,"['Clochette', 'Pochette', 'Detachable Strap']",3.0
Chanel Shopping Tote Fringe Denim Large,Chanel,1765.0,Very Good,4900.0,957.0,Blue,Denim,Blue,Fabric,['Authenticity card'],1.0
Gucci GG Marmont Flap Bag Matelasse Velvet Small,Gucci,1240.0,Very Good,1890.0,180.0,Pink,Velvet,Blue,Satin,['Dust bag'],1.0
Fendi Wave Double Baguette Leather Micro,Fendi,825.0,Excellent,1800.0,78.75,"Blue, Red",Leather,Gray,Microfiber,"['Dust bag', 'Detachable Strap']",2.0
Chanel Vintage Classic Single Flap Bag Quilted Caviar Jumbo,Chanel,5295.0,Good,,342.125,Black,Leather,Black,Leather,['Dust bag'],1.0
Givenchy Antigona Soft Bag Leather Small,Givenchy,1635.0,Great,1950.0,420.0,Gray,Leather,Neutral,Fabric,['Detachable Strap'],1.0
Chanel Classic Double Flap Bag Quilted Caviar Jumbo,Chanel,6155.0,Great,7400.0,336.0,Red,Leather,Red,Leather,['No accessories'],0.0
Chanel Spiral Sea Hit Tote Quilted Iridescent Calfskin Large,Chanel,1445.0,Very Good,3900.0,1344.0,Pink,Leather,Gray,Fabric,"['Dust bag', 'Authenticity card']",2.0
Celine Vertical Cabas Tote Canvas with Leather Large,Celine,1380.0,Excellent,1850.0,761.25,Neutral,"Canvas Plain, Leather",Neutral,Canvas Interior,"['Clochette', 'Lock', 'Dust bag', 'Keys']",4.0
Gucci Ophidia Soft Open Tote GG Coated Canvas East West,Gucci,1505.0,Very Good,1750.0,1365.0,Brown,Canvas (Coated),Neutral,Microfiber,['Pochette'],1.0
Chanel Filigree Backpack Quilted Caviar Large,,,,,,,,,,,
