Title,Brand,Price,Condition,Retail_Price,Volume,Exterior Color,Exterior Material,Interior Color,Interior Material,Accessories
Christian Dior My Lady Dior Bag Cannage Quilt Lambskin,Christian Dior,3825.0,Great,4500.0,196.0,Blue,Leather,Black,Fabric,"['Pins', 'Dust bag', 'Detachable Strap']"
Chanel Coco Top Handle Bag Quilted Caviar with Lizard Large,Chanel,3840.0,Very Good,4800.0,562.5,Blue,"Exotic, Leather, Lizard",Blue,Leather,['Dust bag']
Celine Classic Box Bag Smooth Leather Medium,Celine,2835.0,Great,3950.0,126.0,Green,Smooth Leather,Green,Leather,"['Dust bag', 'Detachable Strap']"
Louis Vuitton Dauphine Shoulder Bag Taurillon Leather Mini,Louis Vuitton,2720.0,Excellent,3450.0,168.0,"Black, Brown, White, Multicolor",Leather,Black,Microfiber,"['Dust bag', 'Detachable Strap']"
Saint Laurent Bellechasse Shoulder Bag Suede and Leather Medium,Saint Laurent,1040.0,Excellent,1890.0,114.0,Pink,"Leather, Suede",Pink,Suede,['Dust bag']
Louis Vuitton Pochette Accessoires Damier Mini,Louis Vuitton,550.0,Great,,36.0,Brown,Canvas Coated,Red,Fabric,['No accessories']
Saint Laurent Lou Camera Bag Matelasse Chevron Leather Mini,Saint Laurent,1480.0,Excellent,,63.0,Black,Leather,Black,Leather,"['Dust bag', 'Box']"
Chanel Deauville Tote Studded Caviar Small,Chanel,4665.0,Great,,819.0,Blue,Leather,Blue,Microfiber,"['Authenticity card', 'Dust bag']"
Louis Vuitton Boite Chapeau Souple Bag Monogram Canvas PM,Louis Vuitton,1960.0,Excellent,,126.75,Brown,Canvas Coated,Neutral,Microfiber,['No accessories']
Celine Belt Bag Textured Leather Nano,Celine,1440.0,Very Good,2150.0,270.0,Blue,Leather,Blue,Suede,"['Dust bag', 'Detachable Strap']"
Chanel Trendy CC Wallet on Chain Chevron Jersey,Chanel,2850.0,Great,3100.0,56.25,Black,Jersey,Black,Leather,"['Authenticity card', 'Box', 'Dust bag']"
Louis Vuitton Soufflot Handbag Epi Leather,Louis Vuitton,365.0,Fair,1280.0,363.0,Red,Leather,Red,Microfiber,['Pochette missing']
Prada Dual Strap Zip Tote Vitello Daino Medium,Prada,845.0,Very Good,1790.0,627.0,Gray,Leather,Black,Fabric,"['Extra Strap missing', 'Detachable Strap']"
Christian Dior Book Tote Oblique Embossed Calfskin Small,,,,,,,,,,[]
Hermes Birkin Handbag Malachite Togo with Gold Hardware 35,Hermes,16145.0,Great,,945.0,Green,Leather,Green,Leather,"['Clochette', 'Keys', 'Lock', 'Box', 'Dust bag']"
Prada Hobo Tessuto Mini,,,,,,,,,,[]
Chanel Chain Handle CC Flap Bag Quilted Caviar with Studded Detail Small,Chanel,5220.0,Great,,116.875,Black,Leather,Pink,Fabric,['Authenticity card']
Chanel Vintage CC Dome Bag Caviar Large,Chanel,1155.0,Good,2600.0,693.0,Black,Leather,Black,Leather,['Authenticity card']
Chanel Classic Single Flap Bag Chevron Lambskin Mini,Chanel,4445.0,Very Good,,100.0,Pink,Leather,Pink,Leather,['No accessories']
Louis Vuitton Pont Neuf Handbag Monogram Empreinte Leather MM,Louis Vuitton,2830.0,Great,3200.0,540.0,Blue,Leather,Red,Fabric,"['Clochette missing', 'Detachable Strap']"
Louis Vuitton Pochette Accessoires Damier Mini,Louis Vuitton,520.0,Good,,24.0,White,Canvas Coated,Neutral,Fabric,['No accessories']
Celine Vertical Cabas Tote Canvas with Leather Large,Celine,1380.0,Excellent,1850.0,761.25,Neutral,"Canvas Plain, Leather",Neutral,Canvas Interior,"['Clochette', 'Lock', 'Dust bag', 'Keys']"
Gucci Ophidia Soft Open Tote GG Coated Canvas East West,Gucci,1505.0,Very Good,1750.0,1365.0,Brown,Canvas (Coated),Neutral,Microfiber,['Pochette']
Chanel Filigree Backpack Quilted Caviar Large,,,,,,,,,,[]
Chanel Logo Pearls Chain Flap Bag Quilted Lambskin Medium,,,,,,,,,,[]
Chanel Vintage Classic Single Flap Bag Quilted Caviar Jumbo,Chanel,5295.0,Good,,342.125,Black,Leather,Black,Leather,['Dust bag']
Chanel Vintage CC Flap Shoulder Bag Perforated Leather Medium,,,,,,,,,,[]
Chanel Casual Trip Messenger Bag Quilted Lambskin Mini,,,,,,,,,,[]
Balenciaga Everyday Crossbody Bag Leather XS,Balenciaga,785.0,Excellent,1180.0,70.0,Gray,Leather,Black,Leather,['Dust bag']
Louis Vuitton Impala Handbag Damier Sauvage,Louis Vuitton,655.0,Great,1900.0,168.0,Brown,Pony Hair,Orange,Microfiber,['No accessories']
Chanel Vintage CC Chain Tote Caviar Small,Chanel,1645.0,Very Good,2600.0,378.0,Black,Leather,Black,Leather,['No accessories']
Louis Vuitton Boite Chapeau Souple Bag Monogram Canvas MM,Louis Vuitton,2350.0,Excellent,2550.0,204.0,Brown,Canvas (Coated),Brown,Microfiber,"['Keys', 'Lock', 'Luggage Tag', 'Box', 'Detachable Strap']"
Saint Laurent Classic Monogram Wallet on Chain Matelasse Chevron Leather Medium,Saint Laurent,1290.0,Excellent,1650.0,99.0,Blue,Leather,Black,"Fabric, Leather",['Detachable Strap']
Prada Bowling Convertible Handle Bag Leather Small,Prada,1735.0,Excellent,2350.0,423.5,Blue,Leather,Black,Fabric,"['Dust bag', 'Detachable Strap']"
Louis Vuitton Moon Alma Bag Monogram Canvas,Louis Vuitton,2725.0,Excellent,3050.0,285.0,Brown,Canvas Coated,Black,Microfiber,"['Lock', 'Detachable Strap']"
Hermes Birkin Handbag Rose Tyrien Epsom with Gold Hardware 35,Hermes,11510.0,Very Good,,992.25,Pink,Leather,Pink,Leather,"['Clochette', 'Keys', 'Lock', 'Dust bag']"
Prada,Prada,940.0,Very Good,,127.5,Pink,Nylon,Pink,Fabric,['Clochette']
Chanel Coco Top Handle Bag Chevron Calfskin Large,Chanel,4940.0,Great,,520.0,Neutral,Leather,Neutral,Fabric,['Detachable Strap']
Louis Vuitton Alma Handbag Monogram Vernis BB,Louis Vuitton,1465.0,Good,2020.0,299.25,Neutral,Patent Leather,Pink,Fabric,"['Clochette', 'Keys', 'Lock', 'Dust bag', 'Detachable Strap']"
Saint Laurent Sunset Crossbody Bag Crocodile Embossed Leather Medium,Saint Laurent,2390.0,Great,,153.0,Black,Leather,Black,Suede,"['Clochette', 'Dust bag']"
Chanel Vintage Timeless Zip Around Vanity Case Patent Small,Chanel,1280.0,Good,,232.75,Black,Leather,Black,Leather,"['Authenticity card', 'Detachable Strap']"
Chanel Coco Top Handle Bag Chevron Calfskin Large,Chanel,3645.0,Great,4300.0,540.0,Black,Leather,Red,Fabric,"['Dust bag', 'Authenticity card', 'Detachable Strap']"
Chanel Vintage Diamond Stitch Drawstring Bucket Bag Quilted Lambskin,Chanel,2205.0,Good,3500.0,1221.875,Black,Leather,,Leather,['Pochette']
Salvatore Ferragamo Amy Tote Pebbled Leather Mini,Salvatore Ferragamo,520.0,Excellent,1150.0,364.5,Purple,Leather,Neutral,Leather,"['Dust bag', 'Detachable Strap']"
Louis Vuitton Saint Jacques Handbag Epi Leather PM,Louis Vuitton,345.0,Fair,1350.0,342.0,Brown,Leather,Yellow,Microfiber,['No accessories']
Chanel Boy Flap Bag Quilted Lambskin New Medium,Chanel,4395.0,Very Good,5500.0,231.0,Brown,Leather,Brown,,"['Dust bag', 'Box', 'Authenticity card']"
Fendi Wave Double Baguette Leather Micro,Fendi,825.0,Excellent,1800.0,78.75,"Blue, Red",Leather,Gray,Microfiber,"['Dust bag', 'Detachable Strap']"
Hermes Evelyne Crossbody Gen III Epsom PM,,,,,,,,,,[]
Chanel Vintage Trapezoid CC Flap Bag Leather Small,,,,,,,,,,[]
Chanel Mosaic Flap Bag Embellished Lambskin Medium,Chanel,4600.0,Very Good,11250.0,150.0,"Red, Multicolor",Leather,Red,Leather,['Authenticity card']
Chanel Classic Double Flap Bag Quilted Caviar Jumbo,Chanel,6155.0,Great,7100.0,336.0,Red,Leather,Red,Leather,['No accessories']
Gucci Charmy Hobo GG Canvas Medium,Gucci,460.0,Good,,240.0,Brown,Canvas Plain,Brown,Fabric,['No accessories']
Louis Vuitton Vintage Alma Handbag Monogram Canvas PM,Louis Vuitton,670.0,Fair,1580.0,741.0,Brown,Canvas (Coated),Brown,Fabric,"['Keys missing', 'Lock missing']"
Louis Vuitton Cartouchiere Handbag Epi Leather MM,Louis Vuitton,605.0,Very Good,1250.0,189.0,Blue,Leather,Black,Leather,['No accessories']
Hermes Birkin Handbag Bleu Thalassa Veau Grain Lisse with Palladium Hardware 30,Hermes,9965.0,Very Good,,648.0,Blue,Leather,Blue,Leather,"['Clochette', 'Keys', 'Lock']"
Chanel Reissue 2.55 Flap Bag Quilted Velvet 225,Chanel,4420.0,Great,4800.0,180.0,Blue,Velvet,Blue,Leather,"['Authenticity card', 'Dust bag', 'Box']"
Celine Luggage Bag Grainy Leather Nano,Celine,1640.0,Fair,2700.0,210.0,Black,Grainy Leather,Black,Suede,"['Dust bag', 'Detachable Strap']"
Chanel 19 Flap Bag Quilted Lambskin Medium,Chanel,5710.0,Very Good,,210.0,Green,Leather,Green,Fabric,['Authenticity card']
Givenchy Antigona Soft Bag Leather Small,,,,,,,,,,[]
Chanel French Riviera Flap Bag Quilted Caviar Large,Chanel,3540.0,Great,,300.0,Red,Leather,Gray,Fabric,['Dust bag']
Louis Vuitton Hina Handbag Mahina Leather PM,,,,,,,,,,[]
